"Disease","Do_1","Do_2","Do_3"
"Drug Reaction","Stop irritation.","Ask your doctor.","Follow up your eating habits."
"Malaria","Consult nearest hospital.","Avoid oily and non-veg food.","Apply mosquito repellents."
"Allergy","Apply calamine.","Examine your eating habits to stay away with foods causing alergies.","Use ice to compress itching."
"Hypothyroidism","Get proper sleep.","Start exercise slowly if you are new to exercise.","Increase the intake of iodine in the diet."
"Psoriasis","Wash hands with warm soapy water.","Stop bleeding using pressure.","Take salt baths."
"GERD","Regular exercise.","Eat in slots.","Maintain healthy weight."
"Chronic cholestasis","Do cold baths.","Use anti itch medicine.","Get vaccinated for hepatitis."
"hepatitis A","Consult nearest hospital.","Wash hands throughly.","Drink more fluids."
"Osteoarthristis","Maintain good posture and proper body mechanics. ","Manage occupational risk.","Take follow up and salt baths."
"(vertigo) Paroymsal  Positional Vertigo","Lie down and relax.","If moving is required, it should be done very slowly and carefully.","Close your eyes or keep them fixed on objects in front of you."
"Hypoglycemia","Lie down on side.","Check in pulse.","Drink sugary drinks and follow your meal plans."
"Acne","Bath twice a day.","Use prescribed products.","Drink plenty of water."
"Diabetes ","Have balanced diet.","When travelling, always have glucose tablets or orange juice at hand.","Consult doctor"
"Impetigo","Soak affected area in warm water.","Wash your hands with soap or water often.","Remove scabs with wet compressed cloth."
"Hypertension ","Do meditation and get proper sleep.","Increase your salt intake.","Check your blood pressure regularly."
"Peptic ulcer disease","Eliminate milk from your diet.","Consume probiotic food.","Limit alcohol intake."
"Dimorphic hemmorhoids(piles)","Consume alovera juice and high fiber food.","Consume witch hazel.","Warm bath with epsom salt."
"Common Cold","Drink vitamin c rich drinks.","Take vapour steams.","Avoid cold food and keep fever in check."
"Chicken pox","Use neem in bathing ","Consume neem leaves.","Take vaccine and stay home."
"Cervical spondylosis","Use heating pad or cold pack."," Do neck muscle building exercises.","Take otc pain reliver."
"Hyperthyroidism","Eat healthy.","Massage and use lemon balm.","Take radioactive iodine treatment."
"Urinary tract infection","Drink plenty of water and drink cranberry juice.","Increase vitamin c intake.","Take probiotics."
"Varicose veins","Lie down flat and raise the leg high.","Exercise should be part of your routine and keep weight check.","Use vein compression and ointments."
"AIDS","Consult doctor.","Wear ppe if possible.","Follow up routine."
"Paralysis (brain hemorrhage)","Massage regularly.","Eat healthy and exercise.","Proper care of high fever."
"Typhoid","Eat high calorie vegitables.","Use antiboitic therapy and consult doctor.","Wash your hands & choose hot foods."
"Hepatitis B","consult nearest hospital and get vaccinated.","Use gloves,masks.","Eat healthy."
"Fungal infection","Let your sneakers air out and wash them regularly.","Use detol or neem in bathing water and bath twice.","Keep infected area dry and use clean clothes."
"Hepatitis C","Consult nearest hospital.","Use intravenous drugs.","Eat healthy and take proper medication."
"Migraine","Do meditation and eat meals regularly.","Learn to cope with stress which reduce stress.","Use poloroid glasses in sun."
"Bronchial Asthma","Switch to loose cloothing.","Take deep breaths and use a nebulizer.","Get away from trigger."
"Alcoholic hepatitis","Maintain a nutritious diet.","Consult doctor and follow up.","Undergo regular health check-up and medications."
"Jaundice","Drink plenty of water.","Consume milk thistle.","Eat fruits and high fiberous food."
"Hepatitis E","Maintain good sanitation.","Take rest and medications.","Consult doctor."
"Dengue","Drink papaya leaf juice.","Use repellent on your skin while indoors or out.","Keep mosquitos away."
"Hepatitis D","Wear latex gloves","Consult doctor and take proper medication.","Eat healthy."
"Heartattack","Call ambulance and keep calm.","Chew or swallow asprin.","Eat fish - Fish is a good source of protein."
"Pneumonia","Consult doctor and take medicine and rest.","Prevent the spread of germs."," Wash your hands often with soap and water"
"Arthritis","Eat fish in your diet.","Use hot and cold therapy and exercise.","Try acupuncture and massage."
"Gastroenteritis","Stop eating solid food for while and drink extra fluids.","Try taking small sips of water.","Ease back into eating and rest."
"Tuberculosis","Cover your mouth.","consult doctor take medication and rest.","Wash your hands often."
